year,latitude,longitude,crr
1996,39.0,50.0,51.13972
1996,39.0,50.25,19.362518
1996,39.0,50.5,13.102425
1996,39.0,50.75,13.102425
1996,39.0,51.0,8.269662
1996,39.0,51.25,6.7317324
1996,39.0,51.5,6.7317324
1996,39.0,51.75,10.560822
1996,39.0,52.0,10.585296
1996,39.0,52.25,5.782086
1996,39.0,52.5,5.782086
1996,39.0,52.75,4.7056317
1996,39.0,53.0,6.636703
1996,39.0,53.25,6.636703
1996,39.0,53.5,5.981041
1996,39.0,53.75,7.960739
1996,39.0,54.0,5.767466
1996,39.0,54.25,5.767466
1996,39.0,54.5,9.733537
1996,39.0,54.75,13.343016
1996,39.0,55.0,13.343016
1996,39.0,55.25,11.191375
1996,39.0,55.5,15.808975
1996,39.0,55.75,10.962864
1996,39.0,56.0,10.962864
1996,39.0,56.25,11.788879
1996,39.0,56.5,7.78626
1996,39.0,56.75,7.78626
1996,39.0,57.0,6.5369077
1996,39.0,57.25,8.342758
1996,39.0,57.5,7.633703
1996,39.0,57.75,7.633703
1996,39.0,58.0,10.128906
1996,39.0,58.25,9.1442995
1996,39.0,58.5,9.1442995
1996,39.0,58.75,10.683499
1996,39.0,59.0,8.752747
1996,39.0,59.25,8.495949
1996,39.0,59.5,8.495949
1996,39.0,59.75,7.480514
1996,39.0,60.0,5.4772954
1996,39.0,60.25,5.4772954
1996,39.0,60.5,3.901228
1996,39.0,60.75,3.7486749
1996,39.0,61.0,4.555936
1996,38.75,50.0,21.331408
1996,38.75,50.25,30.431225
1996,38.75,50.5,13.64336
1996,38.75,50.75,13.64336
1996,38.75,51.0,6.900173
1996,38.75,51.25,8.395518
1996,38.75,51.5,8.395518
1996,38.75,51.75,8.564917
1996,38.75,52.0,13.540701
1996,38.75,52.25,8.179716
1996,38.75,52.5,8.179716
1996,38.75,52.75,9.396329
1996,38.75,53.0,5.523063
1996,38.75,53.25,5.523063
1996,38.75,53.5,5.2446537
1996,38.75,53.75,6.1367702
1996,38.75,54.0,10.242684
1996,38.75,54.25,10.242684
1996,38.75,54.5,16.654696
1996,38.75,54.75,11.712919
1996,38.75,55.0,11.712919
1996,38.75,55.25,8.9196005
1996,38.75,55.5,17.062777
1996,38.75,55.75,22.891272
1996,38.75,56.0,22.891272
1996,38.75,56.25,10.928857
1996,38.75,56.5,6.821672
1996,38.75,56.75,6.821672
1996,38.75,57.0,19.788078
1996,38.75,57.25,10.591969
1996,38.75,57.5,6.4619
1996,38.75,57.75,6.4619
1996,38.75,58.0,7.6635756
1996,38.75,58.25,10.406998
1996,38.75,58.5,10.406998
1996,38.75,58.75,5.839927
1996,38.75,59.0,12.271326
1996,38.75,59.25,5.456319
1996,38.75,59.5,5.456319
1996,38.75,59.75,4.9109435
1996,38.75,60.0,5.8564525
1996,38.75,60.25,5.8564525
1996,38.75,60.5,3.7000473
1996,38.75,60.75,4.266087
1996,38.75,61.0,4.8149586
1996,38.5,50.0,27.817154
1996,38.5,50.25,19.084423
1996,38.5,50.5,17.006842
1996,38.5,50.75,17.006842
1996,38.5,51.0,16.100098
1996,38.5,51.25,10.788066
1996,38.5,51.5,10.788066
1996,38.5,51.75,9.752288
1996,38.5,52.0,15.349412
1996,38.5,52.25,8.638332
1996,38.5,52.5,8.638332
1996,38.5,52.75,7.495451
1996,38.5,53.0,6.1596556
1996,38.5,53.25,6.1596556
1996,38.5,53.5,5.4127793
1996,38.5,53.75,9.21295
1996,38.5,54.0,9.352472
1996,38.5,54.25,9.352472
1996,38.5,54.5,8.758467
1996,38.5,54.75,11.987831
1996,38.5,55.0,11.987831
1996,38.5,55.25,37.09368
1996,38.5,55.5,29.959898
1996,38.5,55.75,12.631416
1996,38.5,56.0,12.631416
1996,38.5,56.25,16.930565
1996,38.5,56.5,14.136295
1996,38.5,56.75,14.136295
1996,38.5,57.0,18.406519
1996,38.5,57.25,14.318088
1996,38.5,57.5,18.287336
1996,38.5,57.75,18.287336
1996,38.5,58.0,4.7237473
1996,38.5,58.25,6.5734563
1996,38.5,58.5,6.5734563
1996,38.5,58.75,5.93718
1996,38.5,59.0,6.343355
1996,38.5,59.25,6.2298946
1996,38.5,59.5,6.2298946
1996,38.5,59.75,4.8674
1996,38.5,60.0,7.8186746
1996,38.5,60.25,7.8186746
1996,38.5,60.5,6.681196
1996,38.5,60.75,7.488142
1996,38.5,61.0,5.7598395
1996,38.25,50.0,27.817154
1996,38.25,50.25,19.084423
1996,38.25,50.5,17.006842
1996,38.25,50.75,17.006842
1996,38.25,51.0,16.100098
1996,38.25,51.25,10.788066
1996,38.25,51.5,10.788066
1996,38.25,51.75,9.752288
1996,38.25,52.0,15.349412
1996,38.25,52.25,8.638332
1996,38.25,52.5,8.638332
1996,38.25,52.75,7.495451
1996,38.25,53.0,6.1596556
1996,38.25,53.25,6.1596556
1996,38.25,53.5,5.4127793
1996,38.25,53.75,9.21295
1996,38.25,54.0,9.352472
1996,38.25,54.25,9.352472
1996,38.25,54.5,8.758467
1996,38.25,54.75,11.987831
1996,38.25,55.0,11.987831
1996,38.25,55.25,37.09368
1996,38.25,55.5,29.959898
1996,38.25,55.75,12.631416
1996,38.25,56.0,12.631416
1996,38.25,56.25,16.930565
1996,38.25,56.5,14.136295
1996,38.25,56.75,14.136295
1996,38.25,57.0,18.406519
1996,38.25,57.25,14.318088
1996,38.25,57.5,18.287336
1996,38.25,57.75,18.287336
1996,38.25,58.0,4.7237473
1996,38.25,58.25,6.5734563
1996,38.25,58.5,6.5734563
1996,38.25,58.75,5.93718
1996,38.25,59.0,6.343355
1996,38.25,59.25,6.2298946
1996,38.25,59.5,6.2298946
1996,38.25,59.75,4.8674
1996,38.25,60.0,7.8186746
1996,38.25,60.25,7.8186746
1996,38.25,60.5,6.681196
1996,38.25,60.75,7.488142
1996,38.25,61.0,10.798234
1996,38.0,50.0,13.519407
1996,38.0,50.25,30.603167
1996,38.0,50.5,9.903888
1996,38.0,50.75,9.903888
1996,38.0,51.0,13.065561
1996,38.0,51.25,10.649175
1996,38.0,51.5,8.216269
1996,38.0,51.75,8.216269
1996,38.0,52.0,13.629373
1996,38.0,52.25,14.352095
1996,38.0,52.5,14.352095
1996,38.0,52.75,7.1366315
1996,38.0,53.0,7.4630327
1996,38.0,53.25,9.03529
1996,38.0,53.5,7.4169483
1996,38.0,53.75,7.4169483
1996,38.0,54.0,9.635013
1996,38.0,54.25,10.6361475
1996,38.0,54.5,7.8892303
1996,38.0,54.75,7.8892303
1996,38.0,55.0,20.125286
1996,38.0,55.25,14.477949
1996,38.0,55.5,12.570715
1996,38.0,55.75,12.570715
1996,38.0,56.0,15.099922
1996,38.0,56.25,15.702824
1996,38.0,56.5,19.519203
1996,38.0,56.75,19.519203
1996,38.0,57.0,18.161793
1996,38.0,57.25,11.49966
1996,38.0,57.5,9.544434
1996,38.0,57.75,9.544434
1996,38.0,58.0,13.770482
1996,38.0,58.25,11.362045
1996,38.0,58.5,5.7795424
1996,38.0,58.75,5.7795424
1996,38.0,59.0,4.991668
1996,38.0,59.25,9.064207
1996,38.0,59.5,9.064207
1996,38.0,59.75,7.0984926
1996,38.0,60.0,4.9954805
1996,38.0,60.25,7.450955
1996,38.0,60.5,6.963742
1996,38.0,60.75,6.963742
1996,38.0,61.0,10.798234
1996,37.75,50.0,13.277866
1996,37.75,50.25,9.396014
1996,37.75,50.5,10.892625
1996,37.75,50.75,10.892625
1996,37.75,51.0,9.949337
1996,37.75,51.25,10.88023
1996,37.75,51.5,10.88023
1996,37.75,51.75,12.994367
1996,37.75,52.0,15.332568
1996,37.75,52.25,13.122133
1996,37.75,52.5,13.122133
1996,37.75,52.75,11.267335
1996,37.75,53.0,10.258256
1996,37.75,53.25,11.747881
1996,37.75,53.5,11.690353
1996,37.75,53.75,11.690353
1996,37.75,54.0,12.533213
1996,37.75,54.25,12.962906
1996,37.75,54.5,9.728453
1996,37.75,54.75,9.728453
1996,37.75,55.0,11.970671
1996,37.75,55.25,9.732583
1996,37.75,55.5,6.390394
1996,37.75,55.75,6.390394
1996,37.75,56.0,12.252257
1996,37.75,56.25,15.630363
