time	crr	spatial_ref
1996-12-31	1.9513868	0.0
1997-12-31	2.128582	0.0
1998-12-31	1.4962878	0.0
1999-12-31	1.4195542	0.0
2000-12-31	1.6865755	0.0
2001-12-31	1.842484	0.0
2002-12-31	1.7953488	0.0
2003-12-31	1.8318235	0.0
2004-12-31	1.967401	0.0
2005-12-31	1.847984	0.0
2006-12-31	1.7659944	0.0
2007-12-31	1.7446189	0.0
2008-12-31	1.4227366	0.0
2009-12-31	1.7273755	0.0
2010-12-31	1.512415	0.0
2011-12-31	1.8590516	0.0
2012-12-31	1.9344338	0.0
2013-12-31	2.0991533	0.0
2014-12-31	1.8275212	0.0
2015-12-31	2.2717774	0.0
2016-12-31	1.9198341	0.0
2017-12-31	1.7469832	0.0
2018-12-31	2.3883812	0.0
2019-12-31	2.2740555	0.0
2020-12-31	2.0816162	0.0
2021-12-31	1.2359549	0.0
2022-12-31	1.5074307	0.0
2023-12-31	1.9202857	0.0
