time	crr	spatial_ref
1996-12-31	1.3498372	0.0
1997-12-31	1.1989907	0.0
1998-12-31	1.2392172	0.0
1999-12-31	1.18921	0.0
2000-12-31	0.9764127	0.0
2001-12-31	0.9683364	0.0
2002-12-31	1.1413078	0.0
2003-12-31	1.1614262	0.0
2004-12-31	1.2171304	0.0
2005-12-31	1.1513556	0.0
2006-12-31	1.0677779	0.0
2007-12-31	1.2165873	0.0
2008-12-31	0.8980225	0.0
2009-12-31	1.3949962	0.0
2010-12-31	1.0371857	0.0
2011-12-31	1.2322887	0.0
2012-12-31	1.1228851	0.0
2013-12-31	1.0916389	0.0
2014-12-31	1.1434861	0.0
2015-12-31	1.1885	0.0
2016-12-31	1.1571192	0.0
2017-12-31	1.217535	0.0
2018-12-31	1.1506709	0.0
2019-12-31	1.4480062	0.0
2020-12-31	1.4417449	0.0
2021-12-31	0.96197766	0.0
2022-12-31	1.3602839	0.0
2023-12-31	0.9974409	0.0
